City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Barra Do Garcas,BR,2020-10-31 17:37:00,-15.89,-52.26,86.0,62,75,6.93
70,Salinas,US,2020-10-31 17:33:55,36.68,-121.66,64.0,42,1,16.11
71,Dvinskoy,RU,2020-10-31 17:37:01,62.15,45.12,30.9,97,0,3.89
72,Ginda,IN,2020-10-31 17:37:01,30.69,78.49,52.9,42,0,6.17
73,Hualmay,PE,2020-10-31 17:37:01,-11.1,-77.61,69.06,66,95,9.82
74,Dikson,RU,2020-10-31 17:37:01,73.51,80.55,17.22,97,100,13.73
75,Bambous Virieux,MU,2020-10-31 17:37:02,-20.34,57.76,69.8,73,40,6.93
76,Kargil,IN,2020-10-31 17:37:02,34.57,76.1,30.13,78,7,2.35
77,New Norfolk,AU,2020-10-31 17:37:02,-42.78,147.06,55.4,62,90,8.05
78,Tiksi,RU,2020-10-31 17:33:54,71.69,128.87,0.7,93,65,4.36
79,Andros Town,BS,2020-10-31 17:37:02,24.7,-77.77,84.2,74,40,12.75
80,La Ronge,CA,2020-10-31 17:37:03,55.1,-105.28,19.4,79,99,8.05
81,Tura,IN,2020-10-31 17:34:06,25.52,90.22,71.91,96,100,2.3
82,Guerrero Negro,MX,2020-10-31 17:34:28,27.98,-114.06,77.58,36,36,5.17
83,Tasiilaq,GL,2020-10-31 17:33:44,65.61,-37.64,32.0,97,75,4.7
84,Syracuse,IT,2020-10-31 17:37:04,37.09,15.28,66.2,82,0,4.7
85,Mar Del Plata,AR,2020-10-31 17:35:49,-38.0,-57.56,71.6,37,0,5.82
86,Saryg-Sep,RU,2020-10-31 17:37:04,51.5,95.6,20.52,95,80,1.77
87,Tuktoyaktuk,CA,2020-10-31 17:33:21,69.45,-133.04,-5.8,83,40,5.82
88,Noumea,NC,2020-10-31 17:37:05,-22.28,166.46,77.0,57,0,8.05
89,Floresta,BR,2020-10-31 17:37:05,-8.6,-38.57,98.11,22,100,9.04
90,Barabash,RU,2020-10-31 17:37:05,43.2,131.48,53.6,76,90,6.71
91,Torbay,CA,2020-10-31 17:33:06,47.67,-52.73,37.0,74,90,16.11
92,Lai,TD,2020-10-31 17:37:06,9.4,16.3,84.36,44,45,2.44
93,Broome,US,2020-10-31 17:34:20,42.25,-75.83,41.0,64,90,4.7
94,Chokurdakh,RU,2020-10-31 17:37:06,70.63,147.92,-3.53,93,97,7.83
95,Katobu,ID,2020-10-31 17:37:06,-4.94,122.53,75.51,89,92,2.62
96,Beringovskiy,RU,2020-10-31 17:34:00,63.05,179.32,19.15,93,97,11.41
97,Oyama,JP,2020-10-31 17:37:07,36.3,139.8,55.99,93,20,3.36
98,Plettenberg Bay,ZA,2020-10-31 17:37:07,-34.05,23.37,60.6,78,9,11.32
99,Mangrol,IN,2020-10-31 17:37:08,21.12,70.12,81.19,54,0,1.7
