City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Currrent Description
61,Proletariy,RU,58.43,31.7,33.55,92,0,6.62,2020-11-01 22:45:51,clear sky
62,Kuhdasht,IR,33.53,47.61,46.35,55,77,1.99,2020-11-01 22:45:52,broken clouds
63,Puerto Ayora,EC,-0.74,-90.35,71.01,89,83,5.99,2020-11-01 22:45:52,broken clouds
64,Bubaque,GW,11.28,-15.83,83.44,78,0,15.3,2020-11-01 22:45:52,clear sky
65,Kodiak,US,57.79,-152.41,32.0,85,90,10.29,2020-11-01 22:45:52,overcast clouds
66,Butaritari,KI,3.07,172.79,81.97,76,23,10.76,2020-11-01 22:45:53,few clouds
67,Walvis Bay,NA,-22.96,14.51,55.4,87,59,9.17,2020-11-01 22:45:53,broken clouds
68,Brokopondo,SR,4.75,-55.17,77.38,91,99,18.01,2020-11-01 22:45:53,moderate rain
69,Ponta Do Sol,PT,32.67,-17.1,69.01,72,20,4.7,2020-11-01 22:42:08,few clouds
70,Geraldton,AU,-28.77,114.6,57.2,93,90,6.93,2020-11-01 22:45:54,overcast clouds
71,Nizwa,OM,22.93,57.53,59.88,33,0,2.17,2020-11-01 22:45:54,clear sky
72,Victoria,HK,22.29,114.16,75.0,69,76,1.01,2020-11-01 22:43:54,broken clouds
73,Atchison,US,39.56,-95.12,51.8,25,1,8.05,2020-11-01 22:45:55,clear sky
74,Komsomolskiy,UZ,40.43,71.72,46.4,36,100,4.7,2020-11-01 22:45:55,overcast clouds
75,Upernavik,GL,72.79,-56.15,16.47,92,97,3.74,2020-11-01 22:45:55,overcast clouds
76,Atuona,PF,-9.8,-139.03,77.47,79,68,15.12,2020-11-01 22:45:55,light rain
77,Berlevag,NO,70.86,29.09,39.2,86,0,25.28,2020-11-01 22:45:56,clear sky
78,Yumen,CN,40.28,97.2,26.8,89,0,1.68,2020-11-01 22:45:56,clear sky
79,San Quintin,MX,30.48,-115.95,74.75,46,0,9.51,2020-11-01 22:45:56,clear sky
80,Tiksi,RU,71.69,128.87,-4.99,89,0,6.91,2020-11-01 22:45:57,clear sky
81,Hithadhoo,MV,-0.6,73.08,83.34,74,100,9.42,2020-11-01 22:45:57,overcast clouds
82,Evanston,US,42.04,-87.69,39.99,38,1,19.46,2020-11-01 22:43:34,clear sky
83,Mount Gambier,AU,-37.83,140.77,60.8,82,56,9.17,2020-11-01 22:45:57,broken clouds
84,Dunedin,NZ,-45.87,170.5,55.99,56,74,17.0,2020-11-01 22:45:58,broken clouds
85,Cidreira,BR,-30.18,-50.21,62.53,66,15,7.09,2020-11-01 22:45:45,few clouds
86,Kapaa,US,22.08,-159.32,82.4,74,20,13.87,2020-11-01 22:45:53,few clouds
87,Bonavista,CA,48.65,-53.11,37.99,74,4,8.05,2020-11-01 22:45:59,clear sky
88,Xining,CN,36.62,101.77,29.68,82,13,2.3,2020-11-01 22:45:59,few clouds
89,Hami,CN,42.8,93.45,37.11,66,0,5.39,2020-11-01 22:45:59,clear sky
90,Touros,BR,-5.2,-35.46,80.6,78,40,12.75,2020-11-01 22:46:00,scattered clouds
91,Ndende,GA,-2.4,11.36,72.54,96,91,1.3,2020-11-01 22:46:00,overcast clouds
92,Dikson,RU,73.51,80.55,18.55,98,99,9.01,2020-11-01 22:46:01,overcast clouds
93,Egvekinot,RU,66.32,-179.17,11.37,89,29,1.92,2020-11-01 22:46:01,scattered clouds
94,Tautira,PF,-17.73,-149.15,82.4,69,75,10.29,2020-11-01 22:46:01,broken clouds
95,Mehamn,NO,71.04,27.85,41.0,86,0,25.28,2020-11-01 22:45:56,clear sky
96,Te Anau,NZ,-45.42,167.72,55.76,48,90,0.89,2020-11-01 22:45:34,overcast clouds
97,Fortuna,US,40.6,-124.16,66.99,63,1,8.05,2020-11-01 22:42:57,clear sky
98,Seymchan,RU,62.88,152.43,13.68,94,100,1.66,2020-11-01 22:46:02,light snow
99,Qaanaaq,GL,77.48,-69.36,2.66,74,0,7.16,2020-11-01 22:46:02,clear sky
100,Rostovka,RU,55.38,71.89,32.54,94,92,10.33,2020-11-01 22:46:02,overcast clouds
101,Nanakuli,US,21.39,-158.15,84.2,62,90,8.05,2020-11-01 22:46:03,overcast clouds
102,Anadyr,RU,64.75,177.48,15.8,85,75,4.16,2020-11-01 22:46:03,light snow
103,Castro,BR,-24.79,-50.01,52.79,91,22,8.28,2020-11-01 22:42:05,few clouds
104,Lavrentiya,RU,65.58,-171.0,22.73,87,9,4.21,2020-11-01 22:46:03,clear sky
105,Kaputa,ZM,-8.47,29.66,73.87,64,67,3.44,2020-11-01 22:46:05,broken clouds
106,Sao Miguel Do Araguaia,BR,-13.28,-50.16,78.55,72,100,2.91,2020-11-01 22:46:05,light rain
107,Hereford,GB,52.06,-2.71,62.01,94,100,7.0,2020-11-01 22:46:06,overcast clouds
108,Saint-Paul,RE,-21.01,55.27,66.0,72,0,6.93,2020-11-01 22:46:06,clear sky
109,Guymon,US,36.68,-101.48,68.0,28,1,19.46,2020-11-01 22:46:06,clear sky
110,Hermanus,ZA,-34.42,19.23,64.0,83,13,7.0,2020-11-01 22:46:06,few clouds
111,Los Llanos De Aridane,ES,28.66,-17.92,75.2,31,0,9.17,2020-11-01 22:46:06,clear sky
112,Sao Domingos,BR,-13.4,-46.32,74.98,78,89,3.53,2020-11-01 22:46:07,light rain
113,Cape Town,ZA,-33.93,18.42,66.99,72,0,8.05,2020-11-01 22:46:07,clear sky
114,Thanh Hoa,VN,19.8,105.77,71.71,92,98,2.98,2020-11-01 22:46:08,overcast clouds
115,College,US,64.86,-147.8,3.99,70,75,1.48,2020-11-01 22:46:08,broken clouds
116,Batagay-Alyta,RU,67.8,130.41,-10.16,85,84,1.7,2020-11-01 22:46:07,broken clouds
117,Lebu,CL,-37.62,-73.65,54.54,90,69,7.09,2020-11-01 22:42:23,broken clouds
118,Rosarito,MX,32.33,-117.03,82.4,24,1,8.05,2020-11-01 22:46:09,clear sky
119,Malakal,SS,9.53,31.66,74.62,80,10,3.6,2020-11-01 22:46:09,clear sky
120,Nouadhibou,MR,20.93,-17.03,78.8,41,100,13.87,2020-11-01 22:46:09,overcast clouds
121,Yellowknife,CA,62.46,-114.35,16.0,85,90,14.99,2020-11-01 22:43:33,light snow
122,San Felipe,VE,10.34,-68.74,75.25,88,89,1.97,2020-11-01 22:46:10,overcast clouds
123,Bangkalan,ID,-7.05,112.74,78.87,82,97,4.14,2020-11-01 22:46:10,overcast clouds
124,Okhotsk,RU,59.38,143.3,19.54,87,100,17.6,2020-11-01 22:46:11,overcast clouds
125,Leningradskiy,RU,69.38,178.42,15.48,82,85,5.66,2020-11-01 22:46:11,overcast clouds
126,Hobyo,SO,5.35,48.53,80.13,76,0,2.73,2020-11-01 22:46:11,light rain
127,Phangnga,TH,8.45,98.53,81.0,94,20,2.24,2020-11-01 22:46:12,few clouds
128,South Lake Tahoe,US,38.93,-119.98,73.99,20,1,4.7,2020-11-01 22:46:12,clear sky
129,Guntakal,IN,15.17,77.38,70.93,72,0,2.42,2020-11-01 22:46:12,clear sky
130,Wanning,CN,18.8,110.4,70.48,86,96,8.25,2020-11-01 22:46:12,light rain
131,Saint-Philippe,RE,-21.36,55.77,69.8,60,75,8.05,2020-11-01 22:45:35,broken clouds
132,Laguna,US,38.42,-121.42,81.0,22,1,4.7,2020-11-01 22:43:42,clear sky
133,Severo-Kurilsk,RU,50.68,156.12,42.73,71,1,8.97,2020-11-01 22:46:13,clear sky
134,Moose Factory,CA,51.26,-80.61,28.4,79,90,21.92,2020-11-01 22:46:14,overcast clouds
135,Hervey Bay,AU,-25.3,152.85,78.01,79,0,8.01,2020-11-01 22:46:15,clear sky
136,Fort Nelson,CA,58.81,-122.7,15.8,78,90,10.29,2020-11-01 22:45:05,light snow
