City_ID,City,Country,Max Temp,Currrent Description,Lat,Lng,Hotel Name
265,Mumford,GH,78.94,overcast clouds,5.26,-0.76,Spanish Villa
269,Kolda,SN,79.59,clear sky,12.88,-14.95,Hôtel Hobbe Chasse
270,Amahai,ID,84.0,light rain,-3.33,128.92,Peternakan Ayam Bangkok Manisso
273,Bull Savanna,JM,75.06,overcast clouds,17.89,-77.59,Big Red's
275,Pagudpud,PH,80.6,light rain,18.56,120.79,Saud Beach Resort and Hotel - 2
276,Kukuna,SL,75.36,light rain,9.4,-12.67,
278,Breves,BR,84.11,overcast clouds,-1.68,-50.48,Hotel e Restaurante Grill
281,Luganville,VU,82.4,broken clouds,-15.53,167.17,The Espiritu Hotel
283,Salalah,OM,75.2,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
285,Lethem,GY,84.16,overcast clouds,3.38,-59.8,Savannah Inn
287,Banda Aceh,ID,79.34,moderate rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
288,Champerico,GT,87.8,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
293,Kieta,PG,86.13,few clouds,-6.22,155.63,
296,Eydhafushi,MV,82.35,broken clouds,5.1,73.07,Soneva Fushi
302,Carutapera,BR,78.82,overcast clouds,-1.2,-46.02,Lidera
305,Palmas Bellas,PA,81.0,light rain,9.23,-80.09,Estación de Chagres
309,Fare,PF,80.83,few clouds,-16.7,-151.02,Maitai Lapita Village Huahine
316,Kirakira,SB,84.36,light rain,-10.45,161.92,SanBiz Lodge
320,Gorom-Gorom,BF,82.69,clear sky,14.44,-0.24,Mairie de Rambo
321,Alice Springs,AU,75.2,clear sky,-23.7,133.88,Desert Palms Alice Springs
324,Guerrero Negro,MX,78.76,few clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
326,Jalingo,NG,78.15,scattered clouds,8.88,11.37,Debright Motel
330,Labuan,MY,78.8,few clouds,5.28,115.24,Tiara Labuan Hotel
342,Acapulco,MX,83.98,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
344,Anito,PH,78.3,overcast clouds,12.45,125.29,The Yellow House
345,Oranjestad,AW,80.6,broken clouds,12.52,-70.03,Divi Village Golf & Beach Resort
347,Lompoc,US,78.8,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
352,Yeppoon,AU,78.8,scattered clouds,-23.13,150.73,Villa Mar Colina
353,Maumere,ID,81.99,overcast clouds,-8.62,122.21,Sylvia Hotel
356,Kanniyakumari,IN,79.36,clear sky,8.08,77.57,Sparsa
358,La Asuncion,VE,77.0,light rain,11.03,-63.86,Colinas de Matasiete
359,Pak Phanang,TH,79.25,light rain,8.35,100.2,Green Park Inn Hotel
372,Kununurra,AU,80.6,overcast clouds,-15.77,128.73,Hotel Kununurra
373,Bontang,ID,76.64,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
375,Candido Mendes,BR,76.77,overcast clouds,-1.45,-45.72,Quebrada Do Mlk PJL
376,Ngawen,ID,76.1,broken clouds,-7.0,111.31,Pak imam bakso
377,Kita,ML,77.18,scattered clouds,13.03,-9.49,Hôtel Nelson Mandela
379,Kefamenanu,ID,79.18,scattered clouds,-9.45,124.48,PAULUS TAITOH
380,Mangrol,IN,78.26,broken clouds,21.12,70.12,Hotel The Royal Honours
386,San Ignacio,BZ,77.0,shower rain,17.16,-89.07,Rainforest Haven Inn
388,Camopi,GF,77.34,broken clouds,3.17,-52.32,
391,Bandarbeyla,SO,76.68,clear sky,9.49,50.81,REER XOOSHLE GROUP
396,Diamantino,BR,80.89,broken clouds,-14.41,-56.45,Hotel Delta
397,Mindelo,CV,77.0,broken clouds,16.89,-24.98,Hotel Gaudi
402,Baracoa,CU,79.29,overcast clouds,20.35,-74.5,Hostal Rio Miel
403,Kantang,TH,76.41,overcast clouds,7.41,99.52,Reng Ta Chai Boutique HomeStay
405,Omboue,GA,75.63,moderate rain,-1.57,9.26,Hotel Olako
406,Pahrump,US,88.0,scattered clouds,36.21,-115.98,Best Western Pahrump Oasis
407,Contai,IN,75.43,overcast clouds,21.78,87.75,Hotel Hindusthan
411,Gamba,GA,76.41,overcast clouds,-2.65,10.0,
412,Piacabucu,BR,78.62,few clouds,-10.41,-36.43,Piaçabuçu News
413,Sabang,ID,81.66,overcast clouds,5.89,95.32,Hotel Citra
420,Pochutla,MX,87.01,clear sky,15.74,-96.47,Hotel Posada San Jose
421,Srivardhan,IN,78.69,broken clouds,18.03,73.02,Savli Resort/Hotel - Shrivardhan
424,Charters Towers,AU,81.66,clear sky,-20.1,146.27,Cattleman's Rest Motor Inn
425,Port Augusta,AU,75.2,few clouds,-32.5,137.77,Majestic Oasis Apartments
429,Wahiawa,US,84.2,clear sky,21.5,-158.02,Aloha Wahiawa
434,Lazaro Cardenas,MX,84.42,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
435,Samana,DO,84.2,scattered clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
437,Phan Thiet,VN,75.24,overcast clouds,10.93,108.1,Hotel Saigon-PT
438,Gunjur,GM,78.8,clear sky,13.2,-16.73,Kuba Lodge
443,Innisfail,AU,81.63,clear sky,-17.53,146.03,Moondarra Motel
445,Weston,US,82.99,clear sky,26.1,-80.4,Courtyard by Marriott Fort Lauderdale Weston
449,Rancho Palos Verdes,US,79.0,broken clouds,33.74,-118.39,Terranea Resort
450,Acajutla,SV,82.4,few clouds,13.59,-89.83,Stop.
453,Miranda,CO,80.6,scattered clouds,3.25,-76.23,Parqueadero toño lasso
455,Ahuimanu,US,84.2,few clouds,21.44,-157.84,Paradise Bay Resort
457,Lindsay,US,82.4,clear sky,36.2,-119.09,Lindsay Inn
460,Augusto Correa,BR,78.42,overcast clouds,-1.02,-46.63,Fazenda Bacuri
462,Ixtapa,MX,86.0,light rain,20.7,-105.2,Container Inn Puerto Vallarta
471,Bonthe,SL,79.47,clear sky,7.53,-12.51,Bonthe Holiday Village
474,Rameswaram,IN,81.7,clear sky,9.28,79.3,Daiwik Hotels Rameswaram
477,Tiarei,PF,82.4,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
481,Tual,ID,83.37,overcast clouds,-5.67,132.75,Grand Vilia Hotel
483,Pangkalanbuun,ID,75.7,overcast clouds,-2.68,111.62,Grand Kecubung Hotel
484,Punta Cardon,VE,84.6,broken clouds,11.66,-70.22,Posada Bambuda
488,Mayumba,GA,76.89,overcast clouds,-3.43,10.66,LIKWALE LODGE
491,Itarema,BR,79.92,clear sky,-2.92,-39.92,Windvillage
